Cancer	CD14	CD19	CD4_Eff	CD56	CD8	Endothelial	Eos	Fibroblast	Neu	Treg
TCGA-AB-2995-03	0.0711787743262178	0.386994510863674	0.0790704827823997	9.99988400134558e-07	0.129945492632285	0.130857482053208	0.0138767390298273	0.0659797346350782	0.0221121434991354	0.0298630535885784	0.0701205866011954
TCGA-AB-2884-03	0.437330970693837	0.228746369416752	0.102563820516064	0.0344603037065074	0.0427692081541062	0.0414072238169261	0.0212887551793154	0.0423661127897029	0.0310236432281029	9.99988500132248e-07	0.0180425925101861
TCGA-AB-2878-03	0.604750958537924	0.121070790502803	0.0130635694949407	0.014479255352239	0.0233477667558101	0.0464787356774306	0.00234747654870928	0.0182600175824244	0.00507193933132608	0.151128490226383	9.99990010099799e-07
TCGA-AB-2998-03	0.635388099685237	0.276200000467995	0.00652078918422946	0.00908800130430584	0.0416290479085397	0.0126768623292751	9.99989140117938e-07	9.99989140117938e-07	9.99989140117938e-07	0.0184931991638571	9.99989140117938e-07
TCGA-AB-2913-03	0.860428767599324	0.0478894861458137	0.0142697468856159	0.0312584645966749	0.00994381330288326	0.0207807770222625	0.00272407077072063	0.00890513444790737	0.00379773925025784	9.99989270115131e-07	9.99989270115131e-07
TCGA-AB-2883-03	0.631636881452346	0.302324592801839	0.00105587810025381	9.99988730127011e-07	0.0137038455576606	0.0210929622823151	0.00173542044181162	0.00638262806778168	0.00322122369680894	0.0111211746643615	0.0077243929460915
TCGA-AB-2984-03	0.812071742382137	0.0646160633768775	0.0246071194788379	0.0209104616207375	0.0364383846024155	9.99988600129958e-07	0.00947999192809202	0.0217445521121059	0.0101286845329963	9.99988600129958e-07	9.99988600129958e-07
TCGA-AB-2837-03	0.583344816544945	0.242192432760213	0.0247021381573355	0.0420185546033212	9.99989400112359e-07	0.0477019943588598	9.99989400112359e-07	0.0204407833276967	0.017666412736025	0.021929867543404	9.99989400112359e-07
TCGA-AB-2874-03	0.797260046769675	0.0961769199331892	0.0309097528834751	0.015700523683119	0.0256066124377423	0.0064069780496365	0.0102800845546505	0.00962686189034097	0.00803021982063141	9.99988770126111e-07	9.99988770126111e-07
TCGA-AB-2836-03	0.636622924572816	0.215835601203128	0.000256721146801174	0.0391201652184838	0.0100071887801039	0.0388571681414333	9.9998888612352e-07	0.0027651592680199	9.9998888612352e-07	0.0565320717025551	9.9998888612352e-07
TCGA-AB-2876-03	0.807726357327977	0.0866496728485005	0.0109429829100829	0.0118996726735024	0.0259319225284289	0.0205329802971108	9.99989300114489e-07	0.0363124114571974	9.99989300114489e-07	9.99989300114489e-07	9.99989300114489e-07
TCGA-AB-2830-03	0.202692750110474	0.164246176867437	0.111212765538303	9.99988900123208e-07	0.103294853427127	0.121802647990607	0.0260984103076456	0.041182142878214	0.0278552908062721	0.0117140699738233	0.189899892111198
TCGA-AB-2823-03	0.593043245237437	0.266381965909408	0.00799409894721299	9.9998861012973e-07	0.0283245773830636	0.0231773360101428	9.9998861012973e-07	9.9998861012973e-07	9.9998861012973e-07	0.0526245006069381	0.0284502759513569
TCGA-AB-2999-03	0.454744011458194	0.303482670795101	0.036404500642628	9.9998903012034e-07	0.0850244672815939	0.00398512628316467	9.9998903012034e-07	0.0139995464249757	0.0315036544049112	0.0265504087420161	0.0443036139893545
TCGA-AB-2940-03	0.777675733306955	0.0833623138586037	0.00523523434945887	0.0131936597513968	0.0031204068300754	0.0454290170895483	9.99989370112996e-07	9.99989370112996e-07	9.99989370112996e-07	0.0719796348564815	9.99989370112996e-07
TCGA-AB-2941-03	0.0517062793177673	0.224312741170696	0.00957119361808026	0.0140336586810571	0.00702688923922536	0.0142804561958061	0.00530326659610538	9.99989930101404e-07	0.00873638202463301	0.657712376836365	0.00731575633033375
TCGA-AB-2987-03	0.159516226179565	0.359206005629217	0.0950434431169126	0.0909151890230981	0.10812779761889	0.124255618277525	0.00163470182211574	0.0215091608181317	0.0119191674588579	0.0278716900668065	9.99988880123653e-07
TCGA-AB-2963-03	0.646696513633968	0.267450317473316	0.00790886067412744	0.00363875350330236	0.01762392323205	0.0225082742420094	9.999899701006e-07	0.0144706548593318	9.999899701006e-07	0.0196997024119848	9.999899701006e-07
TCGA-AB-2967-03	0.753034264802528	9.99988400134558e-07	9.99988400134558e-07	0.00319400294956578	0.00202433651769639	0.0226196376122037	9.99988400134558e-07	0.0513617042042312	9.99988400134558e-07	0.167761053971774	9.99988400134558e-07
TCGA-AB-2843-03	0.658329054628474	0.0599027680257973	0.0691571703918524	0.0589618779521876	0.0249923363308517	0.0927003220116028	9.99989450111301e-07	0.0155494359534507	0.0104331899298462	0.00997184479703739	9.99989450111301e-07
TCGA-AB-3012-03	0.707885248656527	0.154225311232842	0.01930728858519	0.016187922742246	0.043969118538152	0.0321271482077271	9.99989050119901e-07	9.99989050119901e-07	0.000888240273769002	0.0254067217963963	9.99989050119901e-07
TCGA-AB-2971-03	0.199461726136322	0.352023986926549	0.0918276531647539	9.99988600129958e-07	0.0937469312849833	0.0161808155387029	0.0426483138092226	0.0730168676077093	0.0513369147591717	9.99988600129958e-07	0.0797547907953849
TCGA-AB-2873-03	0.136026528192965	0.427534374078072	0.0984029352802403	9.99989180117071e-07	0.116534739094123	0.00345440262336362	0.0137685510242779	0.0739209001758601	0.0378774901655564	0.00259175195724382	0.0898873274191173
