sample_id	CD274	CD38	CD8A	CXCL9	HAVCR2	MEX3B	Angiogenesis	Proliferation	Stroma_EMT	T_effector_IFNG_response	TGFB	CD8_T_effector_POPLAR	Myeloid_inflammation	DediffGenes	TGSig	IFN_I_Dcact	CD40act	TcellActivation	TcellDysfunction	RSRDs	Cytolytic_activity	ExhaustedTcell	RSRDs_weight	12_cheomokine	IMPRES	Chiping_45_signature	TIDE
1	TCGA.3N.A9WB	0.598290246064337	0.0303076254922919	0.245699051764626	0.628281326088582	0.8512	0.87	2.93791621488972	5.09467312744704	3.82283153627575	0.374577597095344	4.29961937041015	0.471655610098922	1.28314430601599	1.40277715054449	1.79372534510498	3.78752110693163	6.38282969322082	4.9810428940454	3.628579123421	3.27740552731223	0.64664487935806	0.464008229840334	-1101.55890557199	-0.0457048338454463	7	-31.7061897844765	1.6
2	TCGA.3N.A9WC	4.28359025840335	4.35265014410826	6.22292724806063	8.82926875656385	4.904	1.398	3.88740886781978	3.9346232920574	4.48868089054614	4.36514666787643	4.75637117524006	5.253794930702	1.48413123839058	2.33266841347124	2.05442185341178	5.84810916514521	5.92773683261814	5.08285023334881	4.51526994087989	3.60171456151381	5.50204398383001	3.18981881823869	-1385.24227320212	-0.0242404841099623	9	-28.5234465281257	-0.21
3	TCGA.3N.A9WD	1.10177340426248	2.28618084474941	3.48359673424901	5.75602266496393	2.577	1.297	4.25376003949189	3.31780212480365	4.04680359608906	1.76230856624636	4.87515404024153	3.21537462706367	1.27891820724618	2.32991801140359	1.65416731934742	4.0575946288151	5.22356771406898	4.2668256616791	3.73494746068124	3.50851306827553	3.24293663212836	1.396731216464	-1504.56025151313	-0.0306360718081691	9	-3.13785964401757	-0.7
4	TCGA.BF.A1PU	0.283442616122267	0.483114297464989	0.249517632291451	0.655742690365653	0.8624	2.067	3.05307511002865	4.26862076672106	4.63559504535823	0.893004508066362	5.82132649355384	0.61646769019701	0.593315082936625	1.83578377198729	2.58712148304658	2.81675315686076	5.94827280457646	4.87426294392166	3.89769706832991	3.55337852645678	0.59037520273128	0.515744577976404	-1275.53587699324	-0.0452119686554736	6	-22.3218107008667	1.73
5	TCGA.BF.A1PV	0.563581730237165	0.560366277044167	0.435027042209207	0.962785770621054	1.818	3.351	3.29345454911241	4.99505372586468	4.72619490038858	1.12506937059553	5.84686427941861	1.21206357656182	1.56558726036975	1.8463736348688	2.47511263066421	3.7046476866181	6.36513090697377	5.31745741177002	4.19730909966534	3.46578679716634	0.605532492934937	0.624908851862072	-1016.22723476498	-0.0468417191105503	7	-30.5350917790354	1.98
6	TCGA.BF.A1PX	2.22936871454605	3.03361218917595	5.86616112765625	6.80046867786052	3.881	0.7646	3.95522493556185	4.30362454392729	4.73220042511381	3.75257498782543	5.15357812174823	4.95558601747736	1.16675112150217	2.51083139171989	2.21946985093694	4.9582458746699	6.13724866837519	4.64584361841966	4.1824886817796	4.11938212562374	6.00379230153742	2.970276103606	-1222.07784828593	-0.0632728324588561	9	-8.93126938128275	2.1
7	TCGA.BF.A1PZ	1.1098288029618	0.906475795474505	2.4498247267267	4.13857697508858	2.22	1.113	2.47561993732097	4.54427198241732	3.99743477175201	1.3938246778725	4.12375295414711	2.37814170684585	1.23904063362913	1.59916521850184	2.03716397867111	5.06589432148484	6.19014118246238	5.08463721963435	4.15119631472109	3.33451062766439	2.6518857441451	0.809552159219943	-1165.72312567498	-0.0516814409504219	9	-24.0058817208538	0.76
8	TCGA.BF.A1Q0	3.8175188349619	1.86213349672307	3.02373615264056	5.11842953569664	3.447	2.445	3.56281617050456	5.62870513574831	4.80633316422474	2.51377430333657	5.51607313709064	3.0732448231563	0.430482909288803	2.92790494349766	2.05149861935594	4.42947969026293	6.54809730878411	5.28883185753938	4.20573068368248	3.56520362146469	3.00109979840724	1.68635534702174	-934.126492324469	-0.0504631492347989	8	-6.72894497482829	0.61
9	TCGA.BF.A3DJ	1.89644083050041	3.22455912228713	2.6565103478252	4.42798364930185	3.798	1.156	4.81219435587894	4.17414949016109	4.88612117155641	1.84537555835801	4.73660774046226	2.75291579611368	2.68448797367601	2.57910357856207	2.51672522009873	5.46739059375715	5.99129041153785	5.00748224893833	4.26389766626948	4.18662086696875	2.76334217931837	1.68443801740042	-1413.76820433189	-0.0466722995319948	7	-20.9278145809906	-0.18
10	TCGA.BF.A3DL	0.510815112254489	0.139642610855335	1.07025966464442	2.04947067110099	1.469	0.2371	3.71658383953747	3.35015415987172	4.21381685955785	0.930453973409664	5.27489747698668	1.09939758706587	2.39247962527485	1.666254182173	2.4620095521108	3.15339834631742	5.45320309448561	4.51531494861731	3.51218890941669	3.13710588388556	2.02652461124952	0.366012394658866	-1245.05342911655	-0.0516316600725188	8	-28.4775468270387	0.98
