cutpoint	tp	fn	fp	tn	odd_ratio	AUC	Decouple	Cutoff_high	Group	Cohort
1	-0.281260717379119	2	0	2	6	4	0.75	Low	0.2	CytotoxicTcell	Liu aPD1+aCTLA4
2	-0.0340980559985904	5	0	2	2	3.5	0.7	High	0.2	CytotoxicTcell	Liu aPD1+aCTLA4
3	-0.281260717379119	11	0	20	7	0.9	0.592592592592593	Other	0.2	CytotoxicTcell	Liu aPD1+aCTLA4
4	-0.131679226755147	9	7	8	23	2.13333333333333	0.657258064516129	All	0.2	CytotoxicTcell	Liu aPD1+aCTLA4
5	-0.275286562444055	1	4	1	9	2	0.32	Low	0.2	CytotoxicTcell	Liu aPD1
6	0.111531048337509	3	3	0	8	3.66666666666667	0.6875	High	0.2	CytotoxicTcell	Liu aPD1
7	-0.280749135016686	19	5	22	11	1.11111111111111	0.482323232323232	Other	0.2	CytotoxicTcell	Liu aPD1
8	-0.280749135016686	25	5	30	11	1.02857142857143	0.501626016260163	All	0.2	CytotoxicTcell	Liu aPD1
9	-0.215555777858634	1	1	0	10	11	0.55	Low	0.2	CytotoxicTcell	PUCH aPD1
10	-0.0121094758247758	4	1	1	5	4.5	0.8	High	0.2	CytotoxicTcell	PUCH aPD1
11	-0.227987700328676	7	2	11	24	2.38461538461538	0.663492063492063	Other	0.2	CytotoxicTcell	PUCH aPD1
12	-0.227987700328676	12	2	17	24	1.89473684210526	0.71602787456446	All	0.2	CytotoxicTcell	PUCH aPD1
13	-0.248988759515518	1	0	1	7	8	0.875	Low	0.2	CytotoxicTcell	VanAllen aCTLA4
14	0.213802505105808	1	0	1	6	7	0.857142857142857	High	0.2	CytotoxicTcell	VanAllen aCTLA4
15	-0.16664365512214	5	1	10	15	1.81818181818182	0.686666666666667	Other	0.2	CytotoxicTcell	VanAllen aCTLA4
16	-0.16664365512214	6	1	17	15	1.16666666666667	0.602678571428571	All	0.2	CytotoxicTcell	VanAllen aCTLA4
17	NA	NA	NA	NA	NA	NA	NA	Low	0.2	CytotoxicTcell	Riaz aPD1+CTLA4
18	0.374904993321637	1	2	0	2	1.5	0.333333333333333	High	0.2	CytotoxicTcell	Riaz aPD1+CTLA4
19	0.0677111045368555	1	0	6	14	2.5	0.7	Other	0.2	CytotoxicTcell	Riaz aPD1+CTLA4
20	0.0677111045368555	4	0	8	14	2.25	0.829545454545455	All	0.2	CytotoxicTcell	Riaz aPD1+CTLA4
21	-0.268621003412386	2	0	2	2	2	0.5	Low	0.2	CytotoxicTcell	Riaz aPD1
22	0.295166447279989	1	0	2	2	1.5	0.5	High	0.2	CytotoxicTcell	Riaz aPD1
23	0.253076994898728	1	4	0	13	3.5	0.415384615384615	Other	0.2	CytotoxicTcell	Riaz aPD1
24	0.253076994898728	2	4	3	14	2.28571428571429	0.42156862745098	All	0.2	CytotoxicTcell	Riaz aPD1
25	-0.223996683047259	3	1	0	3	6	0.833333333333333	Low	0.2	CytotoxicTcell	Gide aPD1+CTLA4
26	0.133664351721059	4	1	0	1	5	0.8	High	0.2	CytotoxicTcell	Gide aPD1+CTLA4
27	-0.119454441508756	9	7	2	8	1.88888888888889	0.68125	Other	0.2	CytotoxicTcell	Gide aPD1+CTLA4
28	-0.119454441508756	14	7	3	8	2.2	0.701298701298701	All	0.2	CytotoxicTcell	Gide aPD1+CTLA4
29	-0.360107332982281	1	0	7	1	0.285714285714286	0.125	Low	0.2	CytotoxicTcell	Gide aPD1
30	-0.0256275763240706	7	0	0	1	Inf	1	High	0.2	CytotoxicTcell	Gide aPD1
31	-0.176147416483456	10	2	6	15	3.125	0.761904761904762	Other	0.2	CytotoxicTcell	Gide aPD1
