estimate	p.value	cohort	Group
0.108257532890981	0.23921478579271	Liu_2019	Decouple sig. adjusted
0.694828806708512	1.33628281658726e-18	Liu_2019	Control sig. adjusted
0.694666296672947	9.82463473210258e-19	Liu_2019	Non-adjusted
0.129308684998745	0.351384438370563	PUCH	Decouple sig. adjusted
0.683422016737259	0.0000000123573649464926	PUCH	Control sig. adjusted
0.683347254130719	0.00000000898605116997669	PUCH	Non-adjusted
0.201708818591684	0.218176403725181	VanAllen_2015	Decouple sig. adjusted
0.820228149590577	0.000000000166105523844403	VanAllen_2015	Control sig. adjusted
0.822649458223006	7.41493065239259e-11	VanAllen_2015	Non-adjusted
0.158358194364314	0.272035044823104	Riaz_2017	Decouple sig. adjusted
0.712458819665891	0.00000000651501987843673	Riaz_2017	Control sig. adjusted
0.699013772260428	0.0000000116371115242634	Riaz_2017	Non-adjusted
0.0816966085960641	0.495094731077894	Gide_2019	Decouple sig. adjusted
0.749517542654929	3.61257670247316e-14	Gide_2019	Control sig. adjusted
0.761846081107316	5.00062765148989e-15	Gide_2019	Non-adjusted
